OBJECTID,ASSET_NAME,SITE_NAME,CHILD_OF,ADDRESS,TYPE,DESCRIPTION,SQ_FEET,ACREAGE,ZIPCODE,ALLIAS,NOTES,TENANT,LABEL,DPP_ASSET_ID,PPR_USE,Shape__Area,Shape__Length
138,Clarence H Clark Park,Clarence H Clark Park,Clarence H Clark Park,4301 CHESTER AVE,LAND,NO_PROGRAM,524199.64277405,12.03401606,19104,Clark Park,MAP,SITE,Clark Park,2906,NEIGHBORHOOD_PARK,82961.578125,1786.2232806261
139,William A. Lackman Memorial Playground,William A. Lackman Memorial Playground,William A. Lackman Memorial Playground,1165 BARTLETT ST,LAND,PROGRAM,498406.40870792,11.44188251,19115,"Lackman, Lackman Playground",MAP,SITE,Lackman ,1888,RECREATION_SITE,79233.72265625,1145.94601696385
140,Billy Gambrel Playground,Billy Gambrel Playground,Billy Gambrel Playground,1900 WAKELING ST,LAND,PROGRAM,502889.41722691,11.54479864,19124,White Hall Commons,MAP,SITE,Gambrel,1862,RECREATION_SITE,79743.875,1184.68408403015
141,Eastwick Park,Eastwick Park,Eastwick Park,7401 LINDBERGH BLV,LAND,NO_PROGRAM,492615.31915267,11.30893686,19153,,MAP,SITE,Eastwick Park,400,NEIGHBORHOOD_PARK,77867.7890625,1160.15568491084
142,Carmella A. DiTizio Playground,Carmella A. DiTizio Playground,Carmella A. DiTizio Playground,2150 WAKELING ST,LAND,PROGRAM,487138.06821886,11.18319598,19124,"Carmella Playground, Whitehall Playground",MAP,SITE,Carmella ,1823,RECREATION_SITE,77239.69921875,1102.92890254874
143,George C. Pelbano Playground,George C. Pelbano Playground,George C. Pelbano Playground,2138 SOLLY AVE,LAND,PROGRAM,486281.75994809,11.16353777,19152,"Rhawnhurst;Pelbano",MAP,SITE,Pelbano ,1987,RECREATION_SITE,77216.953125,1183.50933357409
144,Joseph A. Ferko Playground,Joseph A. Ferko Playground,Tacony Creek Park,1101 E CAYUGA ST,LAND,PROGRAM,451819.11930529,10.37238123,19124,"Ferko, Juniata Park, Ferko Playground",MAP,NOT_SITE,Ferko ,1854,RECREATION_SITE,71647.66015625,1568.67289359203
145,Germany Hill,Germany Hill,Germany Hill,4849 SMICK ST,LAND,NO_PROGRAM,471616.57482472,10.82687009,19128, ,MAP,SITE,Germany Hill,609,REGIONAL_CONSERVATION_WATERSHED,74829.83984375,1332.52843984555
146,Thomas E. Jardel Memorial Field,Thomas E. Jardel Memorial Field,Thomas E. Jardel Memorial Field,1400 COTTMAN AVE,LAND,PROGRAM,469560.71103218,10.77967377,19111,"Jardel, Jardel Recreation Center",MAP,SITE,Jardel ,1879,RECREATION_SITE,74549.91015625,1107.5619986934
147,Cobbs Creek Driving Range & Sports Center,Cobbs Creek Driving Range & Sports Center,Cobbs Creek Park,7900 CITY AVE,LAND,NO_PROGRAM,453502.26619412,10.41102113,19151, ,MAP,NOT_SITE,Cobbs Creek Driving Range,1834,GOLF,71827.33203125,1284.94912665271
148,Officer Daniel Boyle Memorial Recreation Center,Officer Daniel Boyle Memorial Recreation Center,Officer Daniel Boyle Memorial Recreation Center,13024 STEVENS RD,LAND,PROGRAM,465641.55593539,10.68970199,19116,"Boyle, Boyle Recreation Center",MAP,SITE,Boyle,1843,RECREATION_SITE,74072.8515625,1183.72158636924
149,Stenton Park Playground,Stenton Park Playground,Stenton Park Playground,4600 N 16TH ST,LAND,PROGRAM,502172.6309993,11.52834343,19140,Stenton Park,MAP,SITE,Stenton Park ,1958,RECREATION_SITE,79654.41796875,1413.15394997027
150,Holme Playground,Holme Playground,Holme Playground,9152 ACADEMY RD,LAND,PROGRAM,441163.06234609,10.12775085,19114,Thomas Holme,MAP,SITE,Holme ,2939,RECREATION_SITE,70042.5234375,1148.20054734219
151,Charles A. Papa Playground,Charles A. Papa Playground,Morris Park,6839 LANSDOWNE AVE,LAND,PROGRAM,436944.40458559,10.03090341,19151,"Papa, Papa Playground",MAP,NOT_SITE,Papa ,1929,RECREATION_SITE,69207.1015625,1611.70078181881
152,Water Tower Recreation Center,Water Tower Recreation Center,Water Tower Recreation Center,267 E HARTWELL LN,LAND,PROGRAM,415979.25803915,9.54960794,19118,Water Tower,MAP,SITE,Water Tower,1979,RECREATION_SITE,66081.11328125,1538.06781339223
